price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
879900,3,2.0,2242.0,Staten Island,building.residential,pending,staten island,10312,new york,40.5409077,-74.1964937,392.4620874219447
400000,2,2.0,1150.0,The Bronx,building,co-op,the bronx,10465,new york,40.8131429,-73.808397,347.82608695652175
699999,6,2.3738608579684373,2184.207862,The Bronx,building,multi-family home,the bronx,10453,new york,40.8524948,-73.9151397,320.48186080560856
289000,1,1.0,666.0,East New York,building,condo,brooklyn,11207,new york,40.6541622,-73.8846778,433.93393393393393
699000,1,1.0,616.0,Bedford-Stuyvesant,,condo,bedford-stuyvesant,11216,new york,40.6826476,-73.9434923,1134.7402597402597
5800,3,2.3738608579684373,2184.207862,Flatlands,building,land,brooklyn,11234,new york,40.618915,-73.931211,2.655424925853508
479000,6,2.0,3100.0,Staten Island,building,foreclosure,staten island,10303,new york,40.6268305,-74.1471405,154.51612903225808
9999000,4,6.0,4531.0,Manhattan,,foreclosure,manhattan,10028,new york,40.7779497,-73.959448,2206.7976164202164
105000,3,1.0,656.0,East Bronx,building,co-op,the bronx,10462,new york,40.8560699,-73.8688751,160.0609756097561
300000,3,1.0,952.0,Kings County,,house,marine park,11234,new york,40.6162917,-73.929914,315.12605042016804
799000,5,3.0,2400.0,The Bronx,,multi-family home,the bronx,10465,new york,40.8181836,-73.812739,332.9166666666667
202000,2,1.0,1453.0,Bayside,building,co-op,queens,11360,new york,40.7802813,-73.7818912,139.02271163110805
720000,3,2.0,1430.0,Staten Island,building,contingent,staten island,10305,new york,40.6149561,-74.0745548,503.4965034965035
600000,5,2.0,2184.207862,Brooklyn,building,house,brooklyn,11218,new york,40.6422956,-73.972787,274.69913026070776
599000,3,1.0,1200.0,Bay Ridge,building,co-op,brooklyn,11209,new york,40.6279352,-74.0260154,499.1666666666667
235000,2,1.0,860.0,Mid Island,,condo,staten island,10301,new york,40.6192765,-74.09515,273.25581395348837
319000,3,1.0,960.0,Queens,building,co-op,queens,11362,new york,40.7598591,-73.7290086,332.2916666666667
950000,12,6.0,2184.207862,Queens,building,multi-family home,queens,11385,new york,40.7000145,-73.9010076,434.9402895794539
1088888,4,2.0,2184.207862,Queens,building,multi-family home,queens,11360,new york,40.7860789,-73.7928524,498.52764425220255
1250000,4,4.0,3300.0,Staten Island,building.residential,house,staten island,10306,new york,40.5675492,-74.140764,378.7878787878788
650000,3,2.3738608579684373,2184.207862,Brooklyn,building,land,brooklyn,11208,new york,40.6799197,-73.8839962,297.59072444910004
774888,3,2.0,960.0,Staten Island,building.residential,house,staten island,10312,new york,40.5525576,-74.1709014,807.175
105509,1,1.0,650.0,Spuyten Duyvil,building,co-op,the bronx,10463,new york,40.879078,-73.9175196,162.32153846153847
