LATITUDE,LONGITUDE,STATE,LOCALITY,SUBLOCALITY,POSTCODE,PROPERTY_CATEGORY
40.6813429,-73.9981509,New York,New York,Brooklyn,11231,building
40.5877991,-73.9216187,New York,New York,Brooklyn,11229,building
40.5247627,-74.1681035,New York,New York,Staten Island,10312,building.residential
40.6680619,-73.9748375,New York,New York,Brooklyn,11215,building
40.7897507,-73.9487257,New York,New York,Manhattan,10029,building
40.7810583,-73.9808407,New York,New York,Manhattan,10023,building.residential
40.8235127,-73.9467514,New York,New York,Manhattan,10031,building
40.6178184,-74.0151165,New York,New York,Brooklyn,11228,building
40.5423126,-74.1555672,New York,New York,Staten Island,10308,building
40.8726182,-73.8651768,New York,New York,The Bronx,10467,building
40.665357,-73.8770867,New York,New York,Brooklyn,11208,building
40.6837891,-73.8381042,New York,New York,Queens,11417,building
40.665357,-73.8770867,New York,New York,Brooklyn,11208,building
40.6837891,-73.8381042,New York,New York,Queens,11417,building
40.67538,-73.7472571,New York,New York,Queens,11413,building.residential
40.5604695,-74.1018925,New York,New York,Staten Island,10306,building
40.772929,-73.9635462,New York,New York,Manhattan,10021,building
40.8307115,-73.9424229,New York,New York,Manhattan,10032,building
40.5980695,-73.7632649,New York,New York,Queens,11691,building
40.723245,-73.7293286,New York,New York,Queens,11428,building
40.5387812,-74.193378,New York,New York,Staten Island,10312,building.residential
40.8246371,-73.8072061,New York,New York,The Bronx,10465,building
40.5143019,-74.2044734,New York,New York,Staten Island,10309,building.residential
40.7143354,-74.0087443,New York,New York,Manhattan,10007,building
40.6109595,-74.060351,New York,New York,Staten Island,10305,building
40.7881763,-73.7877051,New York,New York,Queens,11360,building
40.6366859,-73.9488175,New York,New York,Brooklyn,11210,building
40.7702318,-73.9610161,New York,New York,Manhattan,10021,building.residential
40.8822913,-73.9137305,New York,New York,The Bronx,10463,building
40.8224987,-73.8111568,New York,New York,Throgs Neck,10465,
40.755049,-73.9136386,New York,New York,Queens,11103,building.residential
40.824015,-73.9502067,New York,New York,Manhattan,10031,building
40.7566899,-73.72075,New York,New York,Queens County,11005,
40.7302938,-73.8059248,New York,New York,Queens,11365,building
40.8663864,-73.8878945,New York,New York,The Bronx,10458,building
40.8176549,-73.8197053,New York,New York,The Bronx,10465,building
40.7832598,-73.976047,New York,New York,Manhattan,10024,building
40.574451,-74.0929448,New York,New York,Staten Island,10306,building
40.7616,-73.9761913,New York,New York,Manhattan,10019,building
40.8454501,-73.8209766,New York,New York,The Bronx,10465,building
40.7905714,-73.9753392,New York,New York,Manhattan,10024,building.residential
40.5731273,-74.089182,New York,New York,Staten Island,10306,building
40.5595612,-73.9147409,New York,New York,Queens,11697,building
40.8423705,-73.9234444,New York,New York,The Bronx,10452,building
40.6590909,-73.8451972,New York,New York,Queens,11414,building
40.688533,-73.796529,New York,New York,Queens,11435,building
40.688533,-73.796529,New York,New York,Queens,11435,building
40.5950021,-73.7577376,New York,New York,Queens,11691,building
40.5997081,-73.9344974,New York,New York,Brooklyn,11229,building
40.7986579,-73.9679035,New York,New York,Manhattan,10025,building
40.6968706,-73.7390395,New York,New York,Queens,11411,
40.5397292,-74.2155251,New York,New York,Staten Island,10309,building.residential
40.5302132,-74.1981906,New York,New York,Staten Island,10309,building.residential
