price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
898000,6,3.0,2100.0,Staten Island,Residential,multi-family home,Staten Island,10306,New York,40.5586967,-74.1351001,427.6190476190476
275000,2,1.0,900.0,Pelham Bay,Residential,co-op,The Bronx,10461,New York,40.8554764,-73.8287193,305.55555555555554
599000,4,2.0,1682.0,Queens,Residential,house,Queens,11420,New York,40.6747343,-73.8239749,356.12366230677765
678990,3,3.0,1575.0,Staten Island,Residential,multi-family home,Staten Island,10314,New York,40.6012318,-74.1300175,431.1047619047619
800000,3,2.0,1824.0,Brooklyn,Residential,house,Brooklyn,11234,New York,40.608799,-73.9128174,438.5964912280702
849000,3,2.0,2000.0,Staten Island,Residential,house,Staten Island,10312,New York,40.5528489,-74.1699382,424.5
675000,3,2.3738608579684373,2184.207862,Brooklyn,Residential,pending,Brooklyn,11203,New York,40.6428139,-73.9451438,309.0365215432962
130000,3,2.3738608579684373,664.0,Staten Island,Residential,house,Staten Island,10303,New York,40.6330671,-74.1659477,195.78313253012047
759999,4,2.0,2184.207862,Queens,Residential,house,Queens,11432,New York,40.7083753,-73.787158,347.95177383167936
489000,2,1.0,978.0,Staten Island,Residential,contingent,Staten Island,10309,New York,40.546573,-74.213449,500.0
799900,5,2.0,1750.0,Brooklyn,Residential,multi-family home,Brooklyn,11229,New York,40.5956263,-73.933927,457.0857142857143
159000,2,1.0,1010.0,The Bronx,Residential,co-op,The Bronx,10467,New York,40.8762047,-73.8603621,157.4257425742574
999500,3,2.0,1144.0,Queens,Residential,house,Queens,11357,New York,40.784332,-73.8045713,873.6888111888112
589000,3,2.0,2310.0,Staten Island,Residential,contingent,Staten Island,10310,New York,40.6426635,-74.1108512,254.978354978355
329000,2,1.0,850.0,Staten Island,Residential,condo,Staten Island,10304,New York,40.6316141,-74.0858954,387.05882352941177
799000,3,2.0,1881.0,Brooklyn,Residential,house,Brooklyn,11226,New York,40.6402886,-73.9463493,424.77405635300374
1188000,4,2.0,1580.0,Brooklyn,Residential,house,Brooklyn,11228,New York,40.6198659,-74.0087151,751.8987341772151
729000,3,2.0,1400.0,The Bronx,Residential,house,The Bronx,10461,New York,40.846624,-73.8520911,520.7142857142857
614900,3,2.0,1495.0,Staten Island,Residential,contingent,Staten Island,10304,New York,40.6142391,-74.0884134,411.30434782608694
599000,4,2.0,1500.0,The Bronx,Residential,house,The Bronx,10470,New York,40.8972473,-73.868898,399.3333333333333
950000,6,2.0,2184.207862,Queens,Residential,multi-family home,Queens,11369,New York,40.7608129,-73.8669195,434.9402895794539
348000,3,2.3738608579684373,2184.207862,Staten Island,Residential,land,Staten Island,10306,New York,40.575138,-74.090531,159.32549555121048
1095000,4,4.0,2280.0,Staten Island,Residential,multi-family home,Staten Island,10308,New York,40.5505648,-74.1599018,480.2631578947368
49500,3,2.3738608579684373,800.0,City Island,Residential,co-op,The Bronx,10464,New York,40.8432844,-73.7846028,61.875
460000,3,3.0,2256.0,Brooklyn,Residential,house,Brooklyn,11236,New York,40.641648,-73.9064568,203.90070921985816
1230250,3,2.0,1590.0,Queens,Residential,house,Queens,11375,New York,40.7120962,-73.8518076,773.7421383647799
799999,3,2.0,1344.0,Brooklyn,Residential,house,Brooklyn,11234,New York,40.6099147,-73.9287144,595.2373511904761
749000,2,2.0,1300.0,Bayside,Residential,condo,Queens,11360,New York,40.7874921,-73.7858086,576.1538461538462
575000,2,1.0,900.0,Queens,Residential,house,Queens,11694,New York,40.5809134,-73.8302012,638.8888888888889
849000,4,2.0,2180.0,The Bronx,Residential,multi-family home,The Bronx,10461,New York,40.8528127,-73.8312235,389.44954128440367
875000,2,2.0,1214.0,Queens,Residential,house,Queens,11362,New York,40.7565472,-73.7339718,720.7578253706755
599999,3,2.0,1360.0,Staten Island,Residential,house,Staten Island,10314,New York,40.613911,-74.133028,441.17573529411766
1150000,5,3.0,2184.207862,Queens,Residential,multi-family home,Queens,11414,New York,40.6542535,-73.8350556,526.5066663330232
579900,3,2.3738608579684373,2640.0,Staten Island,Residential,foreclosure,Staten Island,10301,New York,40.6422293,-74.0830445,219.6590909090909
1295000,4,3.0,2440.0,Queens,Residential,multi-family home,Queens,11357,New York,40.78403,-73.80579,530.7377049180328
250000,3,1.0,1376.0,Brooklyn,Residential,house,Brooklyn,11234,New York,40.6212165,-73.9324344,181.6860465116279
1395000,3,2.3738608579684373,2184.207862,The Bronx,Residential,land,The Bronx,10471,New York,40.9007702,-73.9110778,638.6754778561454
1648000,3,4.0,1751.0,Queens,Residential,townhouse,Queens,11375,New York,40.7179519,-73.8427778,941.1764705882352
950000,3,2.0,1748.0,Queens,Residential,house,Queens,11374,New York,40.7188985,-73.8587988,543.4782608695652
449500,1,1.0,2184.207862,New York,Residential,co-op,Manhattan,10012,New York,40.7278952,-73.9998294,205.79543175364688
184888,3,1.0,500.0,Rego Park,Residential,pending,Queens,11374,New York,40.7343409,-73.859014,369.776
399000,3,1.0,500.0,Manhattan,Residential,condo,Manhattan,10032,New York,40.8374911,-73.9456039,798.0
209000,1,1.0,1078.0,Fieldston,Residential,co-op,The Bronx,10471,New York,40.8915963,-73.8989828,193.87755102040816
625000,3,2.0,2184.207862,Queens,Residential,house,Queens,11417,New York,40.6765364,-73.8351774,286.14492735490387
275000,3,1.0,2184.207862,Manhattan,Residential,co-op,Manhattan,10128,New York,40.7772579,-73.9476695,125.90376803615771
924800,4,3.0,2049.0,Staten Island,Residential,multi-family home,Staten Island,10307,New York,40.5075446,-74.2461088,451.34211810639334
1300000,6,4.0,2112.0,Queens,Residential,house,Queens,11361,New York,40.7645123,-73.7595302,615.530303030303
995000,5,2.0,2288.0,Staten Island,Residential,multi-family home,Staten Island,10312,New York,40.5501403,-74.1810379,434.8776223776224
695000,3,2.3738608579684373,1793.0,Staten Island,Residential,townhouse,Staten Island,10314,New York,40.5763909,-74.1631382,387.61851645287226
998000,5,3.0,1738.0,Queens,Residential,multi-family home,Queens,11419,New York,40.6898026,-73.836542,574.223245109321
899000,7,3.0,1980.0,Staten Island,Residential,multi-family home,Staten Island,10310,New York,40.6275175,-74.1233766,454.04040404040404
235000,3,1.0,2184.207862,Rockaway Park,Residential,co-op,Queens,11694,New York,40.576751,-73.8398387,107.59049268544386
399999,2,1.0,2184.207862,Queens,Residential,house,Queens,11694,New York,40.5853532,-73.8227113,183.1322956752547
520000,4,2.0,1701.0,Brooklyn,Residential,house,Brooklyn,11233,New York,40.6781418,-73.9250576,305.70252792475014
215000,3,1.0,1100.0,Midwood,Residential,co-op,Brooklyn,11230,New York,40.622324,-73.9695073,195.45454545454547
375000,2,2.0,1200.0,Riverdale,Residential,co-op,The Bronx,10463,New York,40.8876529,-73.909649,312.5
849000,4,3.0,2184.207862,Brooklyn,Residential,multi-family home,Brooklyn,11208,New York,40.6895034,-73.8684501,388.69926931890143
199000,2,1.0,2184.207862,Jamaica,Residential,co-op,Queens,11432,New York,40.7092156,-73.7912209,91.10854486980139
899000,4,2.3738608579684373,2184.207862,Queens,Residential,house,Queens,11361,New York,40.7646585,-73.780903,411.59086350729376
699000,3,2.0,2350.0,Brooklyn,Residential,house,Brooklyn,11234,New York,40.6095856,-73.9253159,297.4468085106383
739000,3,1.0,1148.0,Queens,Residential,house,Queens,11426,New York,40.7386816,-73.7202723,643.7282229965157
425000,3,2.0,1700.0,The Bronx,Residential,multi-family home,The Bronx,10467,New York,40.8817944,-73.8617772,250.0
569000,3,3.0,1780.0,The Bronx,Residential,house,The Bronx,10465,New York,40.8147819,-73.8265252,319.6629213483146
789000,5,3.0,1273.0,Queens,Residential,house,Queens,11429,New York,40.7084501,-73.7316272,619.7957580518461
350000,2,1.0,825.0,Williamsburg,Residential,co-op,Brooklyn,11211,New York,40.711175,-73.957086,424.24242424242425
1250000,7,4.0,2184.207862,Brooklyn,Residential,multi-family home,Brooklyn,11220,New York,40.6468782,-74.0136737,572.2898547098077
1499999,4,2.0,2264.0,Brooklyn,Residential,townhouse,Brooklyn,11234,New York,40.6087059,-73.9290715,662.5437279151944
1488000,6,2.0,2184.207862,Brooklyn,Residential,multi-family home,Brooklyn,11228,New York,40.624169,-74.010925,681.2538430465552
699000,3,3.0,2184.207862,Queens,Residential,multi-family home,Queens,11420,New York,40.6793322,-73.8130504,320.0244867537245
924900,3,2.0,1404.0,Brooklyn,Residential,house,Brooklyn,11204,New York,40.6094348,-73.9777343,658.7606837606837
560000,4,2.0,2318.0,The Bronx,Residential,foreclosure,The Bronx,10454,New York,40.8056419,-73.9229736,241.58757549611735
309000,3,2.0,2184.207862,Howard Beach,Residential,pending,Queens,11414,New York,40.6674344,-73.8479327,141.4700520842645
925000,4,2.3738608579684373,2160.0,The Bronx,Residential,multi-family home,The Bronx,10469,New York,40.8616602,-73.8421016,428.24074074074076
999000,4,2.0,2184.207862,Queens,Residential,house,Queens,11365,New York,40.7365353,-73.7913358,457.37405188407837
278500,2,1.0,2184.207862,Rego Park,Residential,co-op,Queens,11374,New York,40.7267837,-73.8587799,127.50617962934517
738000,3,2.0,2184.207862,Manhattan,Residential,co-op,Manhattan,10022,New York,40.7595774,-73.964779,337.87993022067053
900000,4,4.0,2700.0,Queens,Residential,house,Queens,11693,New York,40.6110299,-73.8195062,333.3333333333333
609000,3,2.0,1620.0,The Bronx,Residential,house,The Bronx,10465,New York,40.8165837,-73.8006996,375.9259259259259
728000,3,2.0,1890.0,Staten Island,Residential,condo,Staten Island,10312,New York,40.55065,-74.193355,385.18518518518516
314900,3,3.0,1200.0,Brooklyn,Residential,house,Brooklyn,11207,New York,40.6744942,-73.8883757,262.4166666666667
1298000,3,2.0,2046.0,Queens,Residential,house,Queens,11379,New York,40.7239521,-73.8747783,634.4086021505376
375000,2,2.0,1350.0,Hudson Hill,Residential,co-op,The Bronx,10471,New York,40.8938465,-73.9091368,277.77777777777777
549000,2,2.0,1200.0,Forest Hills,Residential,co-op,Queens,11375,New York,40.724514,-73.8458441,457.5
549000,3,1.0,1400.0,Staten Island,Residential,house,Staten Island,10310,New York,40.6368544,-74.1124571,392.14285714285717
950000,3,2.0,1520.0,Queens,Residential,house,Queens,11375,New York,40.7157274,-73.8563447,625.0
388000,3,1.0,2184.207862,Manhattan,Residential,condo,Manhattan,10002,New York,40.7162732,-73.9849864,177.63877090192435
1399000,6,2.0,2184.207862,Queens,Residential,multi-family home,Queens,11379,New York,40.721725,-73.8839773,640.5068053912169
399000,3,2.3738608579684373,1350.0,Queens,Residential,house,Queens,11420,New York,40.6798316,-73.82277,295.55555555555554
999000,5,2.0,2184.207862,Queens,Residential,pending,Queens,11378,New York,40.7227469,-73.8941061,457.37405188407837
